[2025-05-05 14:43:12,214: INFO: main: Welcome to the CNN Classifier]
[2025-05-05 14:43:20,644: INFO: main: Welcome to the CNN Classifier]
[2025-05-05 15:47:04,707: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-05 15:47:04,709: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-05 15:47:04,710: INFO: common: created directory at: artifacts]
[2025-05-05 15:47:04,712: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-05 15:47:04,713: INFO: 2187018522: Downloading data from https://drive.google.com/file/d/1rUPO5fl7EeoE_oSRH--tiLY9fn-1Niso/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2025-05-05 15:47:12,035: INFO: 2187018522: Downloaded data from https://drive.google.com/file/d/1rUPO5fl7EeoE_oSRH--tiLY9fn-1Niso/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2025-05-05 15:49:21,443: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-05 15:49:21,444: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-05 15:49:21,445: INFO: common: created directory at: artifacts]
[2025-05-05 15:49:21,446: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-05 15:49:21,447: INFO: 329266585: Downloading data from https://drive.google.com/file/d/1rUPO5fl7EeoE_oSRH--tiLY9fn-1Niso/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2025-05-05 15:49:29,255: INFO: 329266585: Downloaded data from https://drive.google.com/file/d/1rUPO5fl7EeoE_oSRH--tiLY9fn-1Niso/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2025-05-05 16:00:17,942: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-05-05 16:00:17,944: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-05 16:00:17,944: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-05 16:00:17,945: INFO: common: created directory at: artifacts]
[2025-05-05 16:00:17,945: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-05 16:00:17,946: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1rUPO5fl7EeoE_oSRH--tiLY9fn-1Niso/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2025-05-05 16:00:24,742: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1rUPO5fl7EeoE_oSRH--tiLY9fn-1Niso/view?usp=sharing to artifacts/data_ingestion/data.zip]
[2025-05-05 16:00:24,987: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
